City Name,Population,Area (sq. km),Smart Infrastructure Score,Energy Consumption,Public Transport Usage,Air Quality Index,Education Index,Healthcare Index,Employment Rate,Smart Grid Adoption,Waste Management Score,Internet Speed (Mbps),Safety Index,Cost of Living Index
City1,5096012,618.03,60.36,337.59,33.79,52.05,54.97,88.72,33.7,8.99,37.49,296.57,43.86,40.09
City2,6354413,931.44,3.39,917.83,20.3,11.59,1.89,28.3,55.46,50.15,54.79,715.36,30.34,51.42
City3,5757525,160.87,90.22,678.09,79.1,44.62,2.91,53.81,20.2,36.25,59.24,837.28,72.02,112.29
City4,9154133,657.85,81.41,369.49,63.72,62.36,59.26,62.61,61.53,14.94,39.61,291.07,24.51,45.84
City5,3714568,169.38,48.59,666.52,30.59,30.86,20.01,14.7,40.97,87.43,59.98,737.42,98.19,111.31
City6,8130316,847.3,57.79,819.71,43.21,15.74,35.2,0.14,49.06,66.6,85.35,758.64,48.44,47.03
City7,4032008,67.96,72.25,299.41,37.98,29.9,81.57,15.76,83.68,75.44,54.13,161.78,10.55,44.65
City8,2338935,976.07,63.14,301.96,68.26,65.64,26.17,24.83,62.85,10.91,31.07,123.12,17.46,86.4
City9,2160729,269.03,12.97,331.1,39.27,43.21,70.29,55.48,2.99,76.69,33.84,959.48,27.45,37.29
City10,7291908,714.12,11.06,815.93,78.98,90.07,46.71,14.79,83.65,70.45,93.04,9.76,82.78,57.55
City11,6385333,336.63,80.16,999.32,73.67,39.76,92.86,87.16,18.36,94.81,54.28,560.27,35.65,93.66
City12,2472752,831.09,9.82,671.19,73.31,23.29,27.41,35.87,72.04,19.98,55.42,83.96,74.1,100.86
City13,8068361,729.79,59.58,255.52,9.77,16.59,94.24,76.03,18.69,44.14,70.18,693.46,44.4,44.57
City14,7328785,780.17,83.9,908.07,51.64,37.39,96.63,77.7,71.49,0.02,79.01,246.1,32.33,90.48
City15,5680463,396.94,11.85,208.99,56.42,81.9,2.79,20.76,12.15,36.75,11.43,142.65,57.18,58.06
City16,5691549,396.79,39.81,808.24,24.12,83.2,98.72,16.05,64.16,90.85,37.88,200.84,81.83,62.61
City17,5031862,280.42,72.35,802.01,78.24,86.13,16.74,98.24,11.74,26.24,15.9,772.53,9.68,85.22
City18,1676721,695.09,7.16,287.47,20.8,54.79,23.97,42.58,53.53,10.09,97.14,829.89,76.49,54.19
City19,5057743,46.89,50.88,676.54,35.21,58.09,18.16,5.88,50.36,65.8,11.03,360.27,83.33,106.37
City20,5778755,527.51,29.38,509.62,72.72,23.62,97.18,30.95,65.37,36.93,50.53,107.62,11.71,75.85
City21,9731296,960.77,90.14,782.84,49.52,22.3,53.45,78.73,37.79,80.01,53.21,439.79,30.47,72.6
City22,5005336,625.88,48.28,974.1,33.63,30.74,60.44,89.73,91.93,53.05,84.69,584.06,30.94,70.61
City23,1360622,256.81,10.59,647.81,16.81,47.79,31.26,50.03,93.79,14.0,50.46,893.59,47.91,118.14
City24,5125407,603.03,57.87,599.72,27.9,31.51,44.98,40.8,20.31,88.43,85.1,295.79,0.86,50.71
City25,3732427,716.52,93.83,750.35,30.77,92.54,31.77,95.95,50.81,74.2,75.01,844.45,75.79,45.04
City26,6100783,206.0,37.83,570.69,70.4,25.37,37.27,81.73,34.19,54.49,21.56,166.99,53.83,72.4
City27,2871624,386.09,31.35,295.14,76.54,78.52,13.9,58.13,30.52,74.71,24.37,255.22,55.82,83.29
City28,9220915,432.93,40.02,853.13,5.7,82.93,27.82,55.93,67.96,48.12,95.91,596.51,41.71,40.29
City29,7930022,903.06,43.34,687.26,39.03,18.58,40.92,53.33,48.51,91.74,26.54,249.56,69.81,118.42
City30,9785204,195.8,3.31,894.04,34.72,28.45,37.21,26.66,81.66,75.07,48.87,451.8,28.95,75.97
City31,4541792,738.22,87.37,912.98,26.87,19.43,47.01,81.66,49.73,18.76,67.93,313.74,72.94,109.81
City32,1751616,395.92,21.83,989.5,20.9,37.88,24.79,13.83,68.61,30.57,16.51,192.78,3.79,67.53
City33,723641,330.69,82.15,607.18,13.43,17.46,83.72,2.92,15.8,91.58,63.49,503.36,11.79,67.86
City34,527591,574.06,38.65,728.62,27.63,86.19,92.2,0.26,5.19,96.8,43.58,473.68,85.26,69.79
City35,7557073,920.5,97.34,192.01,56.73,21.35,87.64,78.08,94.94,60.82,49.15,986.75,54.15,108.05
City36,744746,335.44,44.3,435.42,11.58,39.86,35.07,33.76,3.56,12.1,37.08,500.36,88.14,44.11
City37,8200243,489.82,62.41,516.03,55.97,91.94,9.38,86.51,7.76,30.36,88.73,326.65,1.41,81.1
City38,6241201,338.75,14.23,592.2,57.83,95.82,68.49,75.32,12.8,52.36,19.06,85.43,11.29,95.1
City39,7137661,320.01,9.65,825.71,25.84,45.15,83.51,67.12,31.57,73.56,47.84,555.35,66.68,75.65
City40,822352,707.52,43.63,141.48,13.26,52.57,85.27,53.64,28.63,72.65,91.57,320.65,27.62,51.45
City41,6606442,160.49,30.73,179.2,68.35,66.7,73.45,66.51,23.64,79.91,5.86,239.25,98.37,79.0
City42,4069539,903.44,29.82,793.31,78.72,79.47,53.06,22.41,1.62,57.46,99.11,684.07,79.08,97.38
City43,4495274,333.27,99.22,671.83,32.83,18.26,71.75,15.5,69.75,75.36,88.56,307.32,74.42,37.29
City44,5884616,228.76,28.26,743.35,44.17,55.56,45.64,48.3,85.97,42.61,84.02,573.15,19.78,60.64
City45,1379641,65.64,40.18,447.44,70.77,57.26,71.19,6.35,89.5,34.82,66.24,790.91,8.03,83.82
City46,838386,513.71,80.4,319.75,61.64,71.89,43.18,16.08,84.88,46.37,51.67,275.95,76.28,40.69
City47,9927010,282.99,30.65,607.65,37.87,53.21,74.32,2.66,98.43,26.77,56.94,802.57,37.89,35.62
City48,4871671,940.93,59.55,917.11,49.62,23.87,2.06,97.4,14.34,57.02,35.22,488.0,95.3,73.1
City49,5217155,596.98,92.77,389.92,59.05,21.81,63.1,57.61,4.19,9.1,74.03,202.08,55.76,114.38
City50,2673129,932.81,80.68,123.96,43.55,75.16,49.11,9.03,37.62,85.49,85.74,344.73,0.61,106.13
City51,6909932,849.29,51.51,331.87,61.14,84.52,37.45,1.12,13.26,72.82,34.53,597.16,38.49,100.8
City52,8628150,654.6,20.33,674.8,69.26,25.08,63.82,22.96,31.92,58.39,89.82,900.95,34.72,90.69
City53,456193,417.67,85.97,447.76,15.87,46.42,3.84,33.42,10.87,2.37,80.5,157.41,81.55,101.94
City54,7777484,393.92,7.67,923.74,59.32,57.49,94.65,66.51,52.66,65.19,72.78,806.74,77.99,42.44
City55,1250009,489.03,65.45,133.3,21.01,84.11,86.27,19.23,98.35,76.65,76.61,432.61,39.06,114.69
City56,6438114,300.64,50.4,517.24,52.22,84.51,77.56,41.58,97.7,33.18,3.12,496.87,93.78,63.36
City57,4336690,712.82,70.17,162.44,74.97,31.12,53.58,43.01,83.39,62.32,28.5,499.71,69.19,65.49
City58,2599828,104.87,13.31,181.51,53.56,84.85,51.85,87.16,34.89,47.21,0.09,124.68,64.57,100.57
City59,5655448,519.65,23.45,364.49,5.87,75.79,10.26,84.95,58.09,38.28,43.96,776.42,89.85,47.71
City60,2612065,763.94,4.55,867.24,15.88,58.49,91.71,68.03,9.92,14.61,64.2,228.75,36.89,66.72
City61,847141,357.91,7.0,191.36,53.78,73.46,49.71,58.26,96.97,56.22,48.02,522.05,43.12,48.09
City62,7537213,373.8,1.33,617.18,29.62,41.96,21.0,74.4,24.54,47.62,7.27,656.18,12.44,63.27
City63,8043186,915.52,58.49,506.9,58.54,47.8,66.25,42.53,49.94,68.7,23.95,598.04,45.2,118.6
City64,4770936,542.22,17.36,158.56,32.08,94.16,78.56,81.4,91.81,35.64,49.53,535.2,7.8,62.17
City65,3052996,974.38,25.72,784.81,53.16,91.21,64.92,49.07,21.31,52.71,94.86,972.59,95.57,101.15
City66,9547964,508.19,32.23,183.14,43.5,26.32,69.2,58.17,25.53,2.58,2.29,886.18,26.28,119.09
City67,7607371,302.03,90.47,589.09,11.2,73.41,44.89,43.86,48.82,98.28,90.77,330.0,56.63,86.83
City68,2044589,880.33,97.12,115.11,57.82,35.37,46.09,23.48,20.42,87.13,56.84,886.03,32.47,64.44
City69,6060741,815.79,45.65,415.33,79.11,73.68,64.42,12.04,34.96,73.54,70.58,409.7,75.71,50.39
